	0	1	2	3
ALMC1	ALMC1_DJ_p27_CL_Whole_T1_TSMRU_K03358_D1EV7ACXX_ACAGTG_L008_	ALMC1_DJ_p27_CL_Whole_T1_TSMRU_K03358_D1K20ACXX_ACAGTG_L002_	ALMC1_DJ_p27_CL_Whole_T1_TSMRU_K03358_D1EV7ACXX_ACAGTG_L004_	ALMC1_DJ_p27_CL_Whole_T1_TSMRU_K03358_D1K20ACXX_ACAGTG_L001_
ALMC2	ALMC2_DJ_p11_CL_Whole_T1_TSMRU_K03383_D1K20ACXX_GCCAAT_L008_	ALMC2_DJ_p11_CL_Whole_T1_TSMRU_K03383_D1EV7ACXX_GCCAAT_L001_	ALMC2_DJ_p11_CL_Whole_T1_TSMRU_K03383_D1K20ACXX_GCCAAT_L007_	ALMC2_DJ_p11_CL_Whole_T1_TSMRU_K03383_D1EV7ACXX_GCCAAT_L005_
AMO1	AMO1_DSMZ_p8_CL_Whole_T1_TSMRU_K02216_D0U2FACXX_CGATGT_L005_	AMO1_DSMZ_p8_CL_Whole_T1_TSMRU_K02216_D0U2FACXX_CGATGT_L001_		
ANBL6	ANBL6_DJ2_p13_CL_Whole_T1_TSMRU_K03359_D1EV7ACXX_GCCAAT_L004_	ANBL6_DJ2_p13_CL_Whole_T1_TSMRU_K03359_D1EV7ACXX_GCCAAT_L008_		
ARD	ARD_JJKsccE7_p18_CL_Whole_T1_TSMRU_K02128_BC08HTACXX_ACAGTG_L006_	ARD_JJKsccE7_p18_CL_Whole_T1_TSMRU_K02128_BC08HTACXX_ACAGTG_L007_		
CAG	CAG_JJKsccG6_p17_CL_Whole_T1_TSMRU_K02144_BC08HTACXX_CAGATC_L008_			
DP6	DP6_DJ_p7_CL_Whole_T1_TSMRU_K03360_D1EV7ACXX_CAGATC_L008_	DP6_DJ_p7_CL_Whole_T1_TSMRU_K03360_D1EV7ACXX_CAGATC_L004_	DP6_DJ_p7_CL_Whole_T1_TSMRU_K03360_D1K20ACXX_CAGATC_L001_	DP6_DJ_p7_CL_Whole_T1_TSMRU_K03360_D1K20ACXX_CAGATC_L002_
Delta47	Delta47_JCRB_p16_CL_Whole_T1_TSMRU_K02227_D0U2FACXX_ACAGTG_L004_	Delta47_JCRB_p16_CL_Whole_T1_TSMRU_K02227_D0U2FACXX_ACAGTG_L008_		
FLAM76	FLAM76_JCRB_p10_CL_Whole_T1_TSMRU_K02580_D11P7ACXX_CTTGTA_L003_	FLAM76_JCRB_p10_CL_Whole_T1_TSMRU_K02580_D11P7ACXX_CTTGTA_L004_		
FR4	FR4_PLB_p6_CL_Whole_T1_TSMRU_K02569_D11P7ACXX_TGACCA_L005_			
H1112	H1112_PLB_p5_CL_Whole_T1_TSMRU_K03361_D1EV7ACXX_CTTGTA_L004_	H1112_PLB_p5_CL_Whole_T1_TSMRU_K03361_D1K20ACXX_CTTGTA_L001_	H1112_PLB_p5_CL_Whole_T1_TSMRU_K03361_D1EV7ACXX_CTTGTA_L008_	
